"5","It was Homer who suggested we stand in time with our backs to the future, face to the past."
"4","Oh, that Helen of Troy! Straighten her out? Not likely!"
"3","There is the sea and who shall drain it dry?"
"3","Depression is one of the unknown modes of being."
"4","As Helen
enrages history."
"3","Language is what eases the pain of living with other people, language is what makes the wounds come open again."
"3","Youth is a dream where I go every night and wake with just this little jumping bunch of arteries in my hand."
"2","the ones that bring summer, the ones that bring winter, the ones that die out, the ones that rise up—"
"5","This house if it could talk would tell a tale."
"3","The words we read and words we write never say exactly what we mean. The people we love are never just as we desire them."
"9","Undo this creature."
"5","All the same there are some small questions one would like to put to Sokrates. Or better still Sappho."
"4","the skin of the soul / is a miracle of mutual pressures."
"5","I am fearless and you know it."
"9","As a new heaven is begun, and it is now thirty-three years since its advent, the Eternal Hell revives."
"6","Now the sneaking serpent walks
In mild humility;
And the just man rages in the wilds
Where lions roam."
"7","Rintrah roars and shakes his fires in the burden’d air,
Hungry clouds swag on the deep."
"9","Didst close my tongue in senseless clay,
And me to mortal life betray.
The death of Jesus set me free:
Then what have I to do with thee?"
"9","O the cunning wiles that creep
In thy little heart asleep!
When thy little heart doth wake,
Then the dreadful light shall break."
"9","As thy softest limbs I feel,
Smiles as of the morning steal
O’er thy cheek, and o’er thy breast
Where thy little heart doth rest."
"9","Sweet babe, in thy face
Soft desires I can trace,
Secret joys and secret smiles,
Little pretty infant wiles."
"1","How could I think that?"
"3","But what is it all about?"
"5","But do you always do the same thing when you direct your attention to the colour?"
"5","But then, of course, I cannot require him to follow the line in the same way as I do."
"5","Can we say anything but that after a while this sound comes automatically when we look at the mark?"
"3","If on the other hand he touches it, we can move it."
"3","Thus one might come to regard the image as a super-likeness."
"3","Does it follow from this that I see something different in the two cases?— It gives us a reason for using this expression here."
"3","This presumably means that we cannot do anything with it.—But is it senseless to say: 'Stand roughly there'?"
"5","Have you tried to describe the aroma and not succeeded?"
"4","(I have assumed here that I do not dream myself."
"3","(In the same way e.g."
"4","Only their magic is different."
"5","Can I not say: a cry, a laugh, are full of meaning?"
"5","God turns you from one feeling to another and teaches by opposites, so that you will have two wings to fly, not one."
"5","Respond to every call
that excites your spirit."
"4","The quieter you become, the more you are able to hear."
"3","Rise up nimbly and go on your strange journey to the ocean of meanings."
"4","You will learn by reading
But you will understand with love."
"5","Only from the heart can you touch the sky."
"7","Death has nothing to do with going away.The sun sets The moon sets But they are not gone."
"5","When the world pushes you to your knees, you're in the perfect position to pray."
"4","Close both eyes to see with the other eye."
"3","Who gets up early to discover the moment light begins. Who finds us here circling, bewitched, like atoms?"
"5","There is my body, in it an ocean formed of his glory,all the creation, universes,the galaxies,are lost in it."
"5","Love said to me, there is nothing that is not me. Be silent."
"5","There is a voice that doesn’t use words. Listen."
"9","Speak little, learn the words of eternity. Go beyond your tangled thoughts and find the splendor of Paradise."
"9","Now be silent. Let the One who creates the words speak. He made the door. He made the lock. He also made the key."
"4","Be a lamp, or a lifeboat or a ladder. Help someone's soul heal."
"5","Be occupied, then, with what you really value and let the thief take something else."
"3","Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it."
"5","You can't spot new ideas while dealing with old ones. When you are everywhere, you are nowhere. When you are somewhere, you are everywhere."
"4","Silence is an ocean. Speech is a river. When the ocean is searching for you, don't walk into the river. Listen to the ocean."
"4","gut feelings
are a form
of divine protection"
"4","arc of the sun
the flowers leaning
into early summer rain

Basho"
"5","the dragonfly too
folds his hands
in prayer

Issa"
"4","an abandoned garden
becomes a home
to a swarm of butterflies

Sogi"
"3","an afternoon nap
first spring rainbow
best of days

Isaa"
"6","the ache
in your heart
is holy"
"4","butterflies
how many times
have they flown over my roof

Basho"
"5","in my withered field
the surprise of
flowering grass

 Buson"
"4","a butterfly
softly landing
in my tea kettle

Issa"
"4","the path ends
in fragrant blossoms
wild roses

Buson"
"5","in the frost
your heart
will never wither"
"3","try it on
clothe yourself
with a robe of flowers

Basho"
"4","maybe
the sunshine
is there for you"
"2","the moon sailing
down the river of heaven
into a forest of stars

Manyoshu"
"2","meadow grasses
trembling
sunlight stretches on

Issa"
"2","sowing seeds
of plume grass
in the silver dew

Issa"
"4","the rain became
lovely translucent
thunder clouds

Buson"
"4","But she wanted to break the spell that had fallen on the house; to break the pane of glass which separated them from other people."
"6","A man without a self"
"3","Yes, she had been rather a tomboy;"
"4","She had not sacrificed her independence."
"4","“it’s the use of men, surely, to protect us,”

“Oh, but I don't want protection,”"
"6","Is it chiefly intellectual snobbery that makes me dislike most people? I don’t know. I know that I am full of anger."
"8","but one thing was constant—her refusal, and her frown, and her anger with herself"
"8","one pitied her for the thing she never asked pity for —one pitied her for always doing everything alone."
"4","I’ll promise to be sweet as honey, soft as silk."
"1","Lord, I wish you’d come back."
"5","What is the meaning of life? That was all—a simple question; one that tended to close in on one with years."
"5","Studying the infinite
I etched all fiery feeling,
the whole of my heart in this papyrus."
"3","I’d rather look at things than speak about them."
"4","Your heart longs for something else, aches for other things."
"2","Out of Time. These things are all so very old—
the sketch, and the ship, and the afternoon."
"5","The Hedonism and Art of Alexandria
kept him their own devoted child."
"3","But Argos can do without the house of Atreus."
"4","In the middle of a war—imagine, Greek poems."
"7","So that they come, the Shadows; so that Love’s Shadows come."
"3","But as its distinguishing marks Athens
has Man and the Word."
"9","Those ideal limbs fashioned for the sort of activity
 the current morality would call shameless."
"6","And you will always arrive in this city."
"5","Land of Ionia, it is you they love still,
it is you their souls remember."
"4","The Alexandrians understood, of course,
that this was mere words and theatre."
"6","His death, somewhere, will have been recorded and lost;
or perhaps history has passed over it entirely."
"3","One day, however, unaccustomed reflections
breached his habitual indolence."
"4","Yet, I am young and in perfect health.
With an admirable mastery of Greek."
"4","Ah, days of summer, nineteen hundred and eight."
"3","They were Greeks after all. Remember, Augustus –
 nothing in excess."
"3","I prayed, memory,
that I’d find in you an ally strong enough to render
the face of this youth."
"5","I have gazed so much on beauty
that my eyes overflow with it."
"3","His life-activity, therefore, is but a means of securing his own existence. He works that he may keep alive."
"9","it is the special name for the price of this peculiar commodity, which has no other repository than human flesh and blood."
"3","A round man cannot be expected to fit in a square hole right away. He must have time to modify his shape."
"4","Sometimes too much to drink is barely enough."
"5","To refuse awards is another way of accepting them with more noise than is normal."
"4","I must have a prodigious quantity of mind; it takes me as much as a week sometimes to make it up."
"4","The main difference between a cat and a lie is that a cat only has nine lives."
"5","The very ink with which history is written is merely fluid prejudice."
"4","Few things are harder to put up with than the annoyance of a good example."
"9","In the first place, God made idiots. That was for practice. Then he made school boards."
"5","Principles have no real force except when one is well-fed."
"6","Man will do many things to get himself loved, he will do all things to get himself envied."
"6","I was seldom able to see an opportunity until it had ceased to be one."
"9","The Christian's Bible is a drug store. Its contents remain the same, but the medical practice changes."
"5","If you tell the truth, you don't have to remember anything."
"4","Suppose you were an idiot, and suppose you were a member of Congress; but I repeat myself."
"2","The trouble ain't that there is too many fools, but that the lightning ain't distributed right."
"9","Good breeding consists in concealing how much we think of ourselves and how little we think of the other person."
"4","'Classic.' A book which people praise and don't read."
"9","Those who believe in telekinetics, raise my hand."
"6","I was a victim of a series of accidents, as are we all."
"7","True terror is to wake up one morning and discover that your high school class is running the country."
"4","There is love enough in this world for everybody, if people will just look."
"8","No grown woman is a fan of premature ejaculation."
"4","Virtually every writer I know would rather be a musician."
"3","Freedom of speech isn't something somebody else gives you. That's something you give to yourself."
"4","Live by the harmless untruths that make you brave and kind and healthy and happy."
"6","Beer, of course, is actually a depressant. But poor people will never stop hoping otherwise."
"3","Freud said he didn’t know what women wanted. I know what women want. They want a whole lot of people to talk to."
"9","The big trouble with dumb bastards is that they are too dumb to believe there is such a thing as being smart."
"5","Of all the words of mice and men, the saddest are, ""It might have been."""
"9","Say what you will about the sweet miracle of unquestioning faith, I consider a capacity for it terrifying and absolutely vile!"
"6","Round and round we spin, with feet of lead and wings of tin."
"5","Science is magic that works."
"7","I really wonder what gives us the right to wreck this poor planet of ours."
"9","Well, I just want to say that George W. Bush is the syphilis president."
"2","Like so many Americans, she was trying to construct a life that made sense from things she found in gift shops."
"9","If God were alive today, he would have to be an atheist, because the excrement has hit the air-conditioning big time, big time."
"9","The capital only is needed — the capitalists, as such, can go and will go — the sooner the better for all concerned, themselves included"
"5","Foolish and vain indeed is the workingman who makes the color of his skin the stepping-stone to his imaginary superiority."
"5","You are a worker. The first thing necessary for you to understand is that you are bound irrevocably to every other worker in the country."
"3","Read only the best and most challenging and traditional. And reread it."
"3","Achilles is a remote Sublime, whereas Odysseus is the complete man of Joyce’s vision, coping with the everyday."
"3","Whether any particular poem can be termed “Christian” or even “religious” is a much more problematical question than we tend to recognize."
"6","Self-reliance is a solitary doctrine; it disagrees strongly with Marx's contention that the smallest human unit is two peo­ple."
"3","I would not change a sentence of Moby-Dick."
"5","Rilke dedicated himself to the task of describing a world regarded no longer from a human point of view, but as it is within the angel."
"5","we can easily see for ourselves"
"4","eat or drink, or whatever"
"3","animals which, like bees, cannot hear sounds"
"6","princes become tyrants"
"3","a cow is useful in five ways: it may be used for sacrifice, for ploughing, for food, for milk, and its hide"
"9","Every creature groaneth,"" etc"
"6","gave himself to reveling . . . and banqueting"
"9","poor men who toil for their daily bread"
"3","""The best gives of the best,"" as Plato states"
"6","the goods of the body, it is called ""sensual wisdom,"""
"5","""best"" and ""most perfect"""
"2","Mother."" We must observe"
"8","drunken with excess"
"6","Baptized idiots"
"4","inordinate laughter and inordinate joy in excessive play"
"3","there cannot be virtue and vice in connection with outward apparel"
"5","many that have grace are naturally foolish"
"1","The day seems to start with the rising of the sun"
